k,accuracy,accuracy_stdev,precision,precision_stdev,f1_score,f1_score_stdev
1,0.5963660578386606,0.008982165645040814,0.6112179445247475,0.008043739349751031,0.5909981377297913,0.010402638649507884
2,0.5964611872146118,0.015593625973064879,0.6105908257228913,0.014281734405771353,0.5906016655931916,0.01624609122481961
5,0.6268074581430746,0.01169279410484867,0.6312035823553193,0.009619390349727076,0.6218007765126236,0.01125049299865848
10,0.648972602739726,0.010902375798225443,0.6572632168248707,0.008255234613756837,0.6440717561248052,0.010466046814708493
15,0.6524923896499238,0.01432695402633532,0.6690109503210536,0.010516111946968557,0.6486662338949184,0.013968667227131092
20,0.6590563165905632,0.01448077037081686,0.6841429507319053,0.01267450214370041,0.6566744881163609,0.014935019209777366
30,0.6533485540334856,0.009574797506685741,0.6839939742263039,0.007875428300754229,0.6510079360116554,0.008971394239766785
40,0.6458333333333334,0.011284958117500632,0.6869786513847546,0.005480071329544478,0.6440985753715718,0.009909194083173315
50,0.6420281582952816,0.010143854969354894,0.6890587548490705,0.004172815406529232,0.6404037466195058,0.009463422864666995
75,0.628900304414003,0.008025668083855644,0.6897456442883516,0.005002735302534496,0.6276833274202435,0.0066948100135662955
100,0.617579908675799,0.009560790530264826,0.6888441446514415,0.004962964613825149,0.6181312607255682,0.00897003010321956
