k,accuracy,accuracy_stdev,precision,precision_stdev,f1_score,f1_score_stdev
1,0.7249809741248098,0.015843644076870677,0.7423446581622068,0.013865788049614003,0.7231897844681725,0.016469550382138553
2,0.723744292237443,0.01792573762854585,0.7445517130156841,0.012762082166254674,0.7220902173649059,0.019099369449484763
5,0.738013698630137,0.008366662044373323,0.7476837118769585,0.008175767352485092,0.7364770035857228,0.008942283929735504
10,0.752568493150685,0.012777226779044987,0.7668365725436063,0.013040229995178072,0.7510860823342806,0.013314185790348314
15,0.762652207001522,0.011021499815118579,0.7810961125109293,0.011340120831905791,0.7613573660975925,0.011522044219747106
20,0.7577054794520548,0.006724116936118206,0.784053348929819,0.005728885305266396,0.7573276896395057,0.006929901910500284
30,0.7473363774733638,0.005758791336415106,0.7840776394666671,0.00729940712608199,0.7475512230668365,0.005986223834454309
40,0.7403919330289194,0.009747042214490574,0.7823251358089065,0.009140909152224746,0.7408942494748394,0.01026184670988177
50,0.7330669710806698,0.009422863135523901,0.7801098802374815,0.009195396829836767,0.7336113682084318,0.009527139661200404
75,0.7146118721461188,0.010738348168743578,0.7777313849986616,0.011036348929873844,0.7159806053770131,0.011716835328754407
100,0.6992009132420092,0.004721825504658331,0.7736916055326383,0.010086023299776417,0.7016803668781344,0.005357363317379227
