k,accuracy,accuracy_stdev,precision,precision_stdev,f1_score,f1_score_stdev
1,0.3606354642313546,0.021260878385252695,0.4728355408916806,0.04495025159153314,0.33039444002959256,0.02095190623162727
2,0.3499809741248097,0.018365279300410525,0.48276217168871155,0.04832522116187023,0.32744743900301276,0.01750044588007718
5,0.3172564687975647,0.029431005934715475,0.5101951244010554,0.08143726781253763,0.29877298898614685,0.022778508796555495
10,0.2763508371385084,0.02782961419133562,0.44300112039412215,0.0734015912130664,0.25581533053992883,0.020095433258138475
15,0.24277016742770166,0.021294100494450695,0.4295576293330204,0.04249925039418021,0.2195182731640457,0.01733781449730779
20,0.22203196347031964,0.020788854594283188,0.4131767642558405,0.02984578945499772,0.19727250643459676,0.01747912378080398
30,0.19767884322678844,0.019255129425265628,0.41835065065988675,0.060620575243206215,0.17332625650566494,0.017507537387437513
40,0.17941400304414004,0.018863403834517404,0.3755470280744454,0.027740396790897886,0.15370424810681887,0.019621152022587924
50,0.16352739726027396,0.01458075882682047,0.36365946279371436,0.03378867770711512,0.13636498456540763,0.01665265470446091
75,0.13051750380517504,0.013736292926845793,0.3609511862426622,0.024414301917714914,0.09352552145986942,0.01910038556445722
100,0.11168188736681887,0.01007005703846047,0.3495585403294631,0.04053581274833179,0.06429041341147489,0.01637014082363352
